Port,Site,Name,Port,IP,Uplink MAC,FPGA MAC,WLAN MAC,Arty MAC,Serial No,Cable Color,Location,RPi,Arty PCB Revision,Arty Serial,Arty FPGA,Arty Memory,Arty SPI Flash
34,welland,pi34.welland.fpgas.mithis.com,13422,10.21.0.134,b8:27:eb:6d:27:f6,00:e0:4c:68:02:d2,b8:27:eb:38:72:a3,,7a6d27f6,white,,Raspberry Pi 3 Model B Plus Rev 1.3,,210319A43ADB,XC7A35TICSG324-1L,,
36,welland,pi36.welland.fpgas.mithis.com,13622,10.21.0.136,b8:27:eb:86:39:63,48:d7:05:e9:40:52,b8:27:eb:d3:6c:36,,80863963,blue,,Raspberry Pi 3 Model B Plus Rev 1.3,,,XC7A35TICSG324-1L,,
40,welland,pi40.welland.fpgas.mithis.com,14022,10.21.0.140,e4:5f:01:97:1f:7e,,,,613a4524,gray,,,,,XC7A35TICSG324-1L,,
42,welland,pi42.welland.fpgas.mithis.com,14222,10.21.0.142,e4:5f:01:8d:f7:17,00:e0:4c:53:44:58,e4:5f:01:8d:f7:18,,f77b8415,yellow,,Raspberry Pi 4 Model B Rev 1.5,,210319B3E5C5,XC7A35TICSG324-1L,,
44,welland,pi44.welland.fpgas.mithis.com,14422,10.21.0.144,dc:a6:32:b4:5e:c9,,,,329205c6,gray + red,,,,,XC7A35TICSG324-1L,,
46,welland,pi46.welland.fpgas.mithis.com,14622,10.21.0.146,e4:5f:01:97:32:d2,00:1e:c2:fb:ce:c7,e4:5f:01:97:32:d4,,8483b266,gray/white,,Raspberry Pi 4 Model B Rev 1.5,,210319B301E1,XC7A35TICSG324-1L,,
48,welland,pi48.welland.fpgas.mithis.com,14822,10.21.0.148,e4:5f:01:96:f8:a5,f8:e4:3b:0f:c1:e6,e4:5f:01:96:f8:a7,,ce8e3593,blue,,Raspberry Pi 4 Model B Rev 1.5,,210319B301DE,XC7A35TICSG324-1L,,
2,PS1,pi2.ps1.fpgas.mithis.com,10222,10.21.0.102,b8:27:eb:2f:5d:08,10:9a:dd:41:20:b2,b8:27:eb:7a:08:5d,,042f5d08,grey,front 1,Raspberry Pi 3 Model B Rev 1.2,,210319B301E0,XC7A35TICSG324-1L,,
3,PS1,pi3.ps1.fpgas.mithis.com,10322,10.21.0.103,dc:a6:32:05:32:45,00:05:1b:b0:47:9d,dc:a6:32:05:32:46,,f1b7bb5a,white,front 2,Raspberry Pi 4 Model B Rev 1.1,,210319A43AD3,XC7A35TICSG324-1L,,
5,PS1,pi5.ps1.fpgas.mithis.com,10522,10.21.0.105,b8:27:eb:d4:f1:74,f8:e4:3b:a6:a8:62,b8:27:eb:81:a4:21,,9ed4f174,white,front 4,Raspberry Pi 3 Model B Rev 1.2,,210319B58381,XC7A35TICSG324-1L,,
